location_id,Latitude,Longitude
1,58.49994,27.28475
2,58.46504,27.2839
3,58.44592,27.28435
4,58.42464,27.28336
5,58.39979,27.28791
6,58.3159,27.45033
7,58.36016,27.45524
8,58.39495,27.44013
9,58.41775,27.45066
10,58.44412,27.28849
11,58.47593,27.35226
12,58.52217,27.40825
13,58.45684,27.44887
14,58.41248,27.47408
15,58.42062,27.36225
16,58.44098,27.25025
17,58.44541,27.28923
18,58.39981,27.27804
19,58.37779,27.23903
20,58.43617,27.23755
21,58.43445,27.15546
22,58.4438166666667,27.2887
23,58.4999666666667,27.2844333333333
24,58.5420833333333,27.27455
25,58.5969666666667,27.3490666666667
26,58.7341666666667,27.35255
27,58.68905,27.2103833333333
28,58.2003666666667,26.0131
29,58.3171833333333,26.0438
30,58.2647833333333,26.0513166666667
31,58.2076666666667,26.1018333333333
32,58.53749,26.65644
33,58.54547,26.6344
34,58.53307,26.67547
35,58.59184,26.65193
36,58.5949,26.69183
37,58.57109,26.71132
38,58.55788,26.68229
39,58.59241,26.6508
40,58.7345,13.3826
41,58.79015,13.37668
42,58.73823,13.44815
43,58.68359,13.31834
44,58.75777,13.14579
45,58.69007,13.22261
46,58.61748,13.19748
47,58.56424,13.21072
48,58.51827,13.17257
49,58.26889,26.0435
50,58.21132,26.10181
51,58.12298,27.57492
52,58.23339,27.48688
53,58.45315,27.43415
54,58.44564,27.29054
55,58.5901,27.43498
56,58.78178,27.33285
57,58.92071,27.23139
58,58.82536,27.10695
59,58.16834,26.06782
60,58.21736,26.04928
61,58.2285,26.04502
62,58.33775,26.04578
63,58.21523,26.10102
64,58.042494,26.467808
65,57.844405,26.984806
66,57.727731,26.922556
67,58.1768,27.53847
68,58.31763,27.48356
69,58.37809,27.4265
70,58.47657,27.25816
71,58.44085,27.26026
72,58.45263,27.42336
73,58.38316,27.43084
74,58.45301,27.43461
75,58.643563,26.840823
76,58.231205,26.405061
77,58.196409,26.574094
78,58.82474,27.11166
79,58.92037,27.23163
80,58.78149,27.33179
81,58.58933,27.43386
82,58.44513,27.28735
83,58.45283,27.4342
84,58.38301,27.43112
85,58.33058,27.47889
86,58.23236,27.48699
87,57.89931,25.870958
88,58.002147,26.751146
89,58.128955,26.514296
90,58.12252,27.57419
91,58.23221,27.48628
92,58.44537,27.28826
93,58.58895,27.43341
94,58.78147,27.33255
95,58.36707,24.46216
96,58.33945,24.41657
97,58.305,24.35394
98,58.25143,24.44607
99,58.26721,24.31929
100,58.21943,24.30752
101,58.06697,23.95081
102,57.94212,27.34747
103,57.72892,26.92078
104,58.08791,26.64279
105,58.19748,26.57209
106,57.71287,26.50159
107,57.72864,26.92186
108,58.08807,26.64253
109,58.23071,26.40493
110,58.23071,27.48658
111,58.33067,27.47902
112,58.38316,27.4303
113,58.45281,27.434311
114,58.44528,27.2893
115,58.58901,27.43329
116,58.77938,27.33283
117,58.92213,27.23186
118,58.82562,27.1057
119,57.58213,27.2324
120,57.63582,27.08536
121,58.5914,26.64911
122,58.59589,26.68855
123,58.52953,26.67507
124,55.6558,21.1348
125,55.59458,21.15
126,55.41866,21.12063
127,55.36104,21.08946
128,55.30577,21.02788
129,55.31339,21.08792
130,55.32699,21.17398
131,55.36944,21.15101
132,58.71246,26.56154
133,58.65278,26.8322
134,58.64537,26.83995
135,58.57731,26.69844
136,58.21002,26.10114
137,58.33574,26.04457
138,58.09975,26.07299
139,58.10104,26.0684
